,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
4421,Who edited the film prince of persia: the sands of time?,['Prince of Persia: The Sands of Time'],['prince of persia: the sands of time'],['prince of persia : the sands of time'],[],['prince of persia: the sands of time']
4422,name a pitcher,['pitcher'],['pitcher'],[],[],[]
4423,is highlights from the plugged nickel jazz or pop rock,['Highlights from the Plugged Nickel'],['nickel jazz or pop rock'],[],[],['plugged nickel']
4424,What position does jean-joël perrier-doumbé play?,['Jean-Joël Perrier-Doumbé'],['jean-joel perrier-doumbe'],['jean-joël perrier-doumbé'],[],['jean-joÃ«l perrier-doumbÃ©']
4425,what is roy sinclair's possition,['Roy Sinclair'],['roy sinclair'],['sinclair'],[],['roy sinclair']
4426,What is a film that russell harlan did the cinematography for,['Russell Harlan'],['russell harlan'],['russell harlan'],[],['russell harlan']
4427,what is the language spoken in the ex?,['The Ex'],"['language', 'ex']",[],[],[]
4428,what city is billy hall from,['Billy Hall'],['billy hall'],[],[],['billy hall']
4429,Where is mimei ogawa from?,['Mimei Ogawa'],['mimei ogawa'],['mimei ogawa'],['mi'],['mimei ogawa']
4430,whats the name of a baseball player who plays as a  right fielder,['right fielder'],"['baseball player', 'right fielder']",[],[],[]
4431,what is a language featured in the longest night in shanghai ,['The Longest Night in Shanghai'],"['night', 'shanghai', 'what']",['shanghai'],[],['shanghai']
4432,what is the cover album by Japanese pop singer Ken Hirai,['Ken Hirai'],['japanese pop singer ken hirai'],"['Japanese', 'Ken Hirai']","['Japanese', 'Ken Hirai']","['Japanese', 'Ken Hirai']"
4433,What gender is timmy williams,['Timmy Williams'],['timmy williams'],['timmy williams'],[],['timmy williams']
4434,Who is a person born in manhattan,['Manhattan'],['manhattan'],['manhattan'],[],['manhattan']
4435,What j-pop album was released by Ken Hirai?,['J-pop'],"['j-pop album', 'ken hirai']",['Ken Hirai'],['Ken Hirai'],['Ken Hirai']
4436,which asian language is aakrosh spoken in?,['Aakrosh'],"['aakrosh', 'asian language']",['asian'],['ros'],"['asian', 'aakrosh']"
4437,in what time zone is pusztaederics located,['Pusztaederics'],['pusztaederics'],['pusztaederics'],[],['pusztaederics']
4438,Who directed thief,['Thief'],['thief'],[],[],[]
4439,What is the title of an album by artist stroke 9?,['Stroke 9'],['artist stroke 9'],[],[],['stroke 9']
4440,"Name a city within freeborn county, minnesota",['Freeborn County'],"['minnesota', 'freeborn county']",['minnesota'],[],"['freeborn', 'minnesota']"
4441,who is the indie rock guitarist for Idlewild?,['indie rock'],['idlewild'],['Idlewild'],['Idlewild'],['Idlewild']
4442,where did john wycliffe die?,['John Wycliffe'],['john wycliffe'],['john wycliffe'],['y'],['john wycliffe']
4443,which author was born in bridgewater township?,['Bridgewater Township'],['bridgewater township'],['bridgewater'],[],['bridgewater township']
4444,which language was used in painful maturity,['Painful Maturity'],"['language', 'painful maturity']",[],[],[]
4445,what film did edward burns produce,['Edward Burns'],['edward burns'],['edward burns'],[],['edward burns']
4446,who wrote come on danger!,['Come on Danger!'],['come on danger!'],[],[],[]
4447,Which gender is emil bessels,['Emil Bessels'],['emil bessels'],['emil bessels'],[],['emil bessels']
4448,what's the first episode of the fifth season of deja vu (the outer limits),['Deja Vu'],"['the outer limits', 'deja vu']",[],[],"['deja vu', 'the outer limits']"
4449,which country is laguna de bay in,['Laguna de Bay'],['laguna de bay'],['laguna de bay'],[],['laguna de bay']
4450,what is eulalie spence's profession,['Eulalie Spence'],['eulalie spence'],['eulalie spence'],[],['eulalie spence']
4451,where did nikolai efimov die,['Nikolai Efimov'],['nikolai efimov'],['nikolai efimov'],['niko'],['nikolai efimov']
4452,which basketball position does hilton armstrong play,['Hilton Armstrong'],['hilton armstrong play'],['hilton armstrong'],[],['hilton armstrong']
4453,Where did hillevi rombin die,['Hillevi Rombin'],['hillevi rombin'],['hillevi rombin'],[],['hillevi rombin']
4454,Which county was mike ingham born?,['Mike Ingham'],['mike ingham'],['mike ingham'],[],['mike ingham']
4455,What is israel horovitz's profession,['Israel Horovitz'],['israel horovitz'],['israel horovitz'],['israel horov'],['israel horovitz']
4456,What country is the idiot box from,['The Idiot Box'],['idiot box'],[],[],[]
4457,Where was Chris Young born?,['Chris Young'],['chris young'],['Chris Young'],['Chris Young'],['Chris Young']
4458,who is a famous football striker born in durham,['Durham'],['durham'],['durham'],['du'],['durham']
4459,What is the gender of Art Donovan?,['Art Donovan'],['art donovan'],['Art Donovan'],['Art Donovan'],['Art Donovan']
4460,what is an instrument played by carl jackson ,['Carl Jackson'],['carl jackson'],['carl jackson'],[],['carl jackson']
4461,What country was chris spielman born in?,['Chris Spielman'],['chris spielman'],['chris spielman'],['chris'],['chris spielman']
4462,What country is the movie dil chahta hai from,['Dil Chahta Hai'],['dil chahta hai'],[],[],['dil chahta hai']
4463,where was dejuan tribble born,['DeJuan Tribble'],['dejuan tribble'],['dejuan tribble'],[],['dejuan tribble']
4464,Who is a soccer goalkeeper? ,['goalkeeper'],['soccer goalkeeper'],[],[],[]
4465,whats the name of  richard wagners child,['Richard Wagner'],['richard wagners child'],['richard wagners'],[],['richard wagners']
4466,who wrote the film gia,['Gia'],['film gia'],[],[],['gia']
4467,Who was a writer for the episode the forgotten,['The Forgotten'],['the forgotten'],[],[],['the forgotten']
4468,what is pavel argeyev's gender,['Pavel Argeyev'],['pavel argeyev'],['pavel argeyev'],['rgeyev'],['pavel argeyev']
4469,what kind of music is on bo diddley?,['Bo Diddley'],['bo diddley'],[],[],['dley']
4470,What country is robert s. corrington from,['Robert S. Corrington'],['robert s. corrington'],['robert s. corrington'],[],['robert s. corrington']
4471,how did petar miloševski die?,['Petar Miloševski'],['petar milosevski'],['petar miloševski'],['pet'],['petar miloÅ¡evski']
4472,what is anton strashimirov's country of nationality?,['Anton Strashimirov'],['anton strashimirov'],['anton strashimirov'],"['ant', 'him']",['anton strashimirov']
4473,who is blake griffin,['Blake Griffin'],['blake griffin'],['blake griffin'],[],['blake griffin']
4474,what instrument does ashwin sood play?,['Ashwin Sood'],['ashwin sood'],['ashwin sood'],[],['ashwin sood']
4475,olza is a tributary of what river?,['Olza'],['olza'],['olza'],[],['olza']
4476,what football position does dorin dickerson play at?,['Dorin Dickerson'],['dorin dickerson'],['dorin dickerson'],[],['dorin dickerson']
4477,where was lee bollinger born,['Lee Bollinger'],['lee bollinger'],['lee bollinger'],[],['lee bollinger']
4478,idris phillips follows this major religion. ,['Idris Phillips'],['idris phillips'],['idris phillips'],[],['idris phillips']
4479,What language is spoken in prince vladimir (film),['Prince Vladimir'],['prince vladimir'],[],[],['vladimir']
4480,what language  is in the film  clint the stranger,['Clint the Stranger'],['clint the stranger'],[],[],['clint the stranger']
4481,Who wrote the lyrics for government hooker?,['Government Hooker'],['government hooker'],[],[],[]
4482,What gender is melvin jenkins,['Melvin Jenkins'],['melvin jenkins'],['melvin jenkins'],[],['melvin jenkins']
4483,which country is purple people eater filmed in?,['Purple People Eater'],['purple people eater'],[],[],['purple people eater']
4484,what artist created sarabande,['Sarabande'],['sarabande'],[],[],['sarabande']
4485,Where was john knowles herr burried,['John Knowles Herr'],['john knowles'],['john knowles herr'],[],['john knowles herr']
4486,duck rock was an album that was labeled into this genre of music.,['Duck Rock'],['duck rock'],['duck rock'],[],[]
4487,where was wash westmoreland born?,['Wash Westmoreland'],['wash westmoreland'],['wash westmoreland'],[],['wash westmoreland']
4488,Is ranavalona iii a man or a woman,['Ranavalona III'],['ranavalona iii'],['ranavalona iii'],[],['ranavalona iii']
4489,what is kari rajamäki's country of nationality,['Kari Rajamäki'],['kari rajamaki'],['kari rajamäki'],['ka'],['kari rajamÃ¤ki']
4490,what genre is family ties?,['Family Ties'],['family ties'],[],[],[]
4491,where in california did  jimmie adams die,['Jimmie Adams'],"['jimmie adams', 'california']","['california', 'jimmie adams']",[],"['california', 'jimmie adams']"
4492,What is joe carey's gender,['Joe Carey'],['joe carey'],['joe carey'],[],['joe carey']
4493,What country filmed redemption maddie,['Redemption Maddie'],"['country', 'redemption maddie']",['redemption maddie'],[],['maddie']
4494,what is kelly knox's gender,['Kelly Knox'],['kelly knox'],['kelly knox'],[],['kelly knox']
4495,What country is the mind of the married man from,['The Mind of the Married Man'],['country'],[],[],[]
4496,what is the gender of james l. conway ,['James L. Conway'],['james l. conway'],['james l. conway'],[],['james l. conway']
4497,what constellation is hd 102117 a part of?,['HD 102117'],['hd'],[],[],['hd 102117']
4498,in what language is the film archangel,['Archangel'],['film archangel'],[],[],['archangel']
4499,What kind of gameplay does bomberman jetters have,['Bomberman Jetters'],['bomberman jetters'],[],[],['bomberman']
4500,What genre of music does the artist collin raye produce?,['Collin Raye'],['artist collin raye'],['collin raye'],[],['collin raye']
4501,what type of movie is freeze frame,['Freeze Frame'],"['movie', 'freeze frame']",[],[],[]
4502,Where did normie roy die in new hampshire,['Normie Roy'],"['normie roy', 'new hampshire']","['normie roy', 'new hampshire']",[],"['normie roy', 'new hampshire']"
4503,whats the title of bz20's album,['BZ20'],['bz20'],['bz20'],[],['bz20']
4504,what is the position that lynn myers played?,['Lynn Myers'],['lynn myers'],['lynn myers'],[],['lynn myers']
4505,what's the name of a midfielder footballer,['midfielder'],['midfielder footballer'],[],[],[]
4506,what position does david sinclair play in soccer?,['David Sinclair'],['david sinclair'],['david sinclair'],[],['david sinclair']
4507,What war did leo bennett take part in,['Leo Bennett'],['leo bennett'],['leo bennett'],[],['leo bennett']
4508,what philosopher was born in new york city,['New York City'],"['new york city', 'what philosopher']",['new york'],[],['new york city']
4509,Name a baseball player. ,['baseball player'],['baseball player'],[],[],[]
4510,what language was every night at eight made in,['Every Night at Eight'],"['language', 'eight']",[],[],[]
4511,which music was used in mr. belvedere goes to college,['Mr. Belvedere Goes to College'],['mr. belvedere'],['mr. belvedere'],[],['mr. belvedere']
4512,who is the child of morphia of melitene,['Morphia of Melitene'],"['morphia', 'melitene']",['morphia of melitene'],[],"['morphia', 'melitene']"
4513,Who directed the invisible mouse,['The Invisible Mouse'],['invisible mouse'],[],[],[]
4514,what is madri's sex?,['Madri'],['madri'],['madri'],[],['madri']
4515,which instrumentalist plays the guitar,['guitar'],"['instrumentalist', 'guitar']",[],[],[]
4516,what is carmine coppola's nationality?,['Carmine Coppola'],['carmine coppola'],['carmine coppola'],[],['carmine coppola']
4517,where was lyn collingwood born?,['Lyn Collingwood'],['lyn collingwood'],['lyn collingwood'],[],['lyn collingwood']
4518,What filmmaker was born in rio de janeiro?,['Rio de Janeiro'],['rio de janeiro'],['rio de janeiro'],[],['rio de janeiro']
4519,albert l. becker is a military personal that participated in what world war?,['Albert L. Becker'],"['world war?', 'albert l. becker']",['albert l. becker'],[],"['albert l. becker', 'world war']"
4520,where did frederick louis of württemberg-winnental die,['Frederick Louis of Württemberg-Winnental'],"['frederick louis', 'wurttemberg-winnental']","['frederick louis', 'württemberg-winnental']",['berg'],"['frederick louis', 'wÃ¼rttemberg-winnental']"
4521,what author penned the book dumbing us down,['Dumbing Us Down'],['dumbing us down'],[],[],[]
4522,An example of a alternative metal artist would be who?,['alternative metal'],['alternative metal artist'],[],[],[]
4523,who was involved in battle of old baldy,['Battle of Old Baldy'],"['old baldy', 'battle']",[],[],['battle of old baldy']
4524,what is the nationality of guri schanke?,['Guri Schanke'],['guri schanke'],['guri schanke'],[],['guri schanke']
4525,which soccer position is played by oh seung-bum,['Oh Seung-bum'],['oh seung-bum'],['oh seung-bum'],[],['oh seung-bum']
4526,who did cinematography for jersey girl,['Jersey Girl'],['jersey girl'],[],[],['jersey girl']
4527,Who wrote the turkish passion?,['The Turkish Passion'],['turkish passion'],[],[],['turkish']
4528,what science fiction fantasy comedy film was created by dan aykroyd,['Dan Aykroyd'],['dan aykroyd'],['dan aykroyd'],[],['dan aykroyd']
4529,What language is the film saigon electric in?,['Saigon Electric'],['saigon electric'],['saigon electric'],[],['saigon electric']
4530,What is the gender of darren jarman?,['Darren Jarman'],['darren jarman'],['darren jarman'],[],['darren jarman']
4531,Where is the movie el greco from,['El Greco'],['el greco'],['el greco'],[],['el greco']
4532,what is joie ray's nationality?,['Joie Ray'],['joie ray'],['joie ray'],[],['joie ray']
4533,what films did jeannot szwarc direct,['Jeannot Szwarc'],['jeannot szwarc'],['jeannot szwarc'],[],['jeannot szwarc']
4534,Which language is the killing featured in,['The Killing'],"['language', 'killing']",[],[],[]
4535,what is an example of a fantasy book,['fantasy'],['fantasy book'],[],[],[]
4536,who is guru gobind singh's child?,['Guru Gobind Singh'],['guru gobind singh'],['gobind singh'],[],['gobind singh']
4537,what city did david hawthorne die in,['David Hawthorne'],['david hawthorne'],['david hawthorne'],[],['david hawthorne']
4538,where was bjarne corydon born?,['Bjarne Corydon'],['bjarne corydon'],['bjarne corydon'],[],['bjarne corydon']
4539,which war did darius n. couch play a role in,['Darius N. Couch'],['darius n. couch'],['darius n. couch'],[],['darius n. couch']
4540,What language is in the film jessica?,['Jessica'],['film jessica'],[],[],['jessica']
4541,Who is a parent of rosemary kennedy,['Rosemary Kennedy'],['rosemary kennedy'],[],[],['rosemary kennedy']
